"CMCII_Institution","Sector","SERVICE","CII_Name","CII_Type","Description","Location","Dependencies (Upstream/Downstream Asset)","Ownership (Public, Private, Hybrid)","Custodian","Geolocation Parameters","Status (A/C/R)","Impact Users Affected (0-4)","Economic Impact (1-4)","Recovery Time (1-4)","Availability of Alternatives (1-4)","Cross-sector Dependencies (1-4)","Score","Tier"
"AFRICEL","Information and Communications","Internet services (ISP)","Antennas","Networks and Communication","ISP Connection Backbone","Countrywide","ISP Service","Africell","Africell Team","F839+H6X","Active","1","1","4","2","3","11","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","QNAP","Data","Hardware Asset with OS installed used for Data backup","Gambia Ports Authirty, Banjul","Power,LAN","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","1","2","3","1","3","10","Tier-2"
"AFRICEL","Information and Communications","International gateway services","SIP Server","Hardware and Computing Infrastructure","Signalling Server","Africell HQ","International Voice","Africell","Africell Team","F839+H6X","Active","3","2","4","2","2","13","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port Logistics coordination","Data Backup","Data","Database","Gambia Ports Authority, Banjul","OS, Licenses, Power","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","2","2","2","2","10","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","Counseling, Educational & Vocational Training Programmes","Software Systems","Classrooms, workshops, counseling rooms, and digital learning tools for inmate rehabilitation.","Education Block & Workshops – Mile 2; Partner NGOs at Jeshwang","Up: Power, LAN/Internet (for e-learning), Trainers; Down: Reintegration Services, Case Management","Hybrid","GPS Rehabilitation & Education Unit; Partners (MoBSE, NGOs)","On-prem education blocks and workshops","Active","3","2","2","2","3","12","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","Paypro","Software Systems","Staff Payroll software","Gambia Ports Authirty, Banjul","SQL database, Power, LAN","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","3","2","2","1","10","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","Access Control & Biometrics","Hardware and Computing Infrastructure","Badge and biometric readers for staff/inmate movement, sally ports, and restricted zones.","All prison entry points and internal secure doors","Up: Power, Directory Services; Down: Guard Roster System, Incident Logs","Public","GPS Security","Multiple facilities","Active","4","2","3","3","2","14","Tier-2"
"Gambia Ports Authority (GPA)","Transport","Port operations and management","Shorehandling","Software Systems","Hosting Software Asset","Gambia Ports Authirty, Banjul","SQL database,nginx,power supply,cooling system","Gambia Ports Authority","Gambia Ports Authority (IT)","CCVG+68X, Banjul","Active","2","3","3","2","3","13","Tier-2"
"Gambia Prisons Services(GPS)","National Defense and Security","Internal Security","HF/VHF Radio Network","Networks and Communication","Two-way radios and repeaters for command-and-control, emergencies, and daily operations.","Mile 2, Jeshwang, Old Jeshwang; Mobile units","Up: Power, Repeaters/Masts; Down: Emergency Response, Perimeter Patrols","Public","GPS Operations – Signals","Network-wide","Active","4","2","2","4","2","14","Tier-2"
"Social Security and Housing Finance Corporation (SSHFC)","Banking and Finance","Investment management","SSMIS","Software Systems","Integrates Core Business Processes in One PLatform","Headquarters","FMS,HRMS ,MSSQL SERVER","PRIVATE","SSHFC","FC3G+3X","Active","3","3","2","3","3","14","Tier-2"
"National Records Service (NRS)","General Government","National archives services","Digitization Clerk","Human","Scan to Digitize Archival Records","National Records Service","Desktops","Government","National Records Service","F87H+M2J, Serrekunda","Active","2","2","2","4","2","12","Tier-2"
